id,headline,author,date,year,newspaper,newspaper_code,section,word_count,text
239,Craft brewer is big enough now to buy its own round Alex Massie,,2017-01-14,2017,The Times,T,Editorial,360,"Imagine if a multinational corporation —P, say, or Diageo —hreatened to abandon a multimillion-pound investment in Scotland unless local councillors agreed that it could purchase the land needed for its new facilities at only £,000 an acre. I have a hunch that public opinion would reckon that the company concerned was ""at it"". The threat to take its business elsewhere would be seen as a sorry, if all too typical, example of corporate blackmail.

Such is the situation in which BrewDog, the company that in only a decade has become Britain's largest craft brewer, now finds itself. The company wants to build a hotel, restaurant, conference centre and distillery on a 2.5-acre site next to its premises in Ellon. BrewDog says the £ million project would create 80 jobs but that those jobs would go elsewhere unless Aberdeenshire council sells Brewdog the land it needs at a heavily discounted rate.

The company believes that the site is worth £,000 an acre —oughly what an acre of grazing land costs in Aberdeenshire —hile the council's valuation estimates that the site, which is earmarked for expanding a local cemetery, is worth £00,000 an acre if converted to business use.

This, the brewer says, is deluded.

BrewDog fancies itself as a scrappy up-and-coming business; the little guy punching above his weight in a world dominated by corporate behemoths. How ironic, then, that it is adopting the tactics long favoured by just the kind of companies against which BrewDog has defined itself.

James Watt, one of BrewDog's founders, has said that the company ""will never sell out to some monolithic drinks giant"". Other brewers have customers; BrewDog has followers. That has helped it to grow. In 2015 it reported gross profits of £7 million on sales of £4.7 million. Its latest round of crowdfunding valued the company at £00 million. That scrappy underdog is a big dog now.

But there is no good reason to offer sweetheart deals to corporate interests —ven when those interests are local champions."
240,FT WEEKEND SUPPLEMENT - MONEY UK investors have a thirst for  BrewDog ; CROWDFUNDING,Aime Williams,2017-01-14,2017,Financial Times,FTFT,,817,"Growth in the US may be harder to achieve for the craft brewer

BrewDog, Scotland's largest craft brewery, closed the year by confirming its place as the most successful crowdfunded business in the UK - but its expansion in the US is less assured.

The brewer, which has nurtured a maverick image with its "" Equity for Punks "" share offering and eye-catching promotional stunts, recently sold a £0m unsecured bond to UK investors for an annual rate of 7.5 per cent for four years.

Over seven years, the company has raised £5.3m from UK retail investors, mostly by selling equity. This puts them well ahead of Camden Town Brewery, which also raised cash from ""the crowd"" to the tune of £.8m before being bought by brewer AB InBev for an undisclosed amount.

Analysts have previously questioned the high valuations achieved by the BrewDog, pointing out that retail investors are unlikely to make much profit on sale if shares are bought for a high price to begin with .

The so-called ""mini-bond"" - a non-transferable, illiquid instrument - is only the fledgling brewer's second debt issuance to retail investors.

A company's valuation has a direct impact on the potential return of an equity investment, but the coupon payment on a debt investment is an expression of default risk.

Whether investors want to buy the debt or not ultimately depends on ""on how bullish [they] are about BrewDog's international expansion"", said Pedro Madeira, an analyst at alternative finance specialist Beahurst.

""For retail investors, 7.5 per cent interest is a good deal if BrewDog does pay back, but the risk is really hard to measure,"" said Mr Madeira.

While BrewDog says it sees ""taking people on a journey"" as part of its motivation for offering the new debt instrument, one analyst questioned why the company would borrow from retail investors when it could just borrow from a bank.

""It's much cheaper to [raise debt] from retail investors,"" said Goncalo de Vasconcelos, chief executive of online equity investment platform Syndicate Room. ""I'm confident that if they went to a bank they would have to pay a lot more to borrow.""

According to accounts filed to Companies House, BrewDog already has nearly £0m of debt from HSBC, secured against its assets. This security means the bank's debt is less risky than the unsecured debt offered to retail investors.

Neil Simpson, BrewDog's finance director, said the company's bank debt package is cheaper than the 7.5 per cent rate he can offer to retail investors - but he adds that banks ""lend under certain criteria"".

""In another three to six months they may be amenable to give us more finance,"" said Mr Simpson, who said that he did not approach HSBC - or any bank - for finance before BrewDog's recent retail bond offering.

Much of the money from BrewDog's bond will go to financing the company's operations in the US, where it has begun work on a new brewery and taproom in Columbus, Ohio. Some of the cash will help with the final costs of this new £0m site, which boasts 250 car parking spaces and a restaurant.

BrewDog has ambitions for another site in Columbus, as well as more bars in the UK. It shortly plans to open a new cellar brewery in Scotland.

Whether its bonds are good investments or not depends on whether BrewDog can crack the US market and remain solvent enough to pay back all of its debt. BrewDog's inaugural US equity crowdfunding campaign has been considerably less successful than its UK efforts, suggesting less interest in the brand across the Atlantic.

The company raised $3m rather than an expected $50m; in previous UK equity crowdfunding initiatives the company has drummed up £m in a little over three weeks.

Mr Simpson says this is because BrewDog has not yet developed the kind of brand recognition in the US that it has in the UK - and points out that BrewDog's first UK fundraising push was for £69,000, significantly less than its recent US effort.

But BrewDog could still have a tough time ahead. According to research from the Brewers Association, in 2015 a new craft brewery opened every 16 hours on average in the US.

""The US market is a good 20 years more developed than the UK market,"" says Mr Simpson. ""There is far more competition and far more good guys, but if we're going to be a global player we need to crack that market.""

Mr de Vasconcelos of Syndicate Room said he saw no reason for investors to be put off the bond as long as they understood the risks fully. However, he warned prospective investors against confusing ""liking beer"" with ""understanding beer manufacturing""."
241,Five of the best: Snack start-ups,Will Hawkes,2017-01-20,2017,Financial Times (FT.Com),FTCOM,,434,"Karkli ( chomponkarkli.com )

Made primarily from lentils and rice flour, these deep-fried tubular snacks deliver a spicy hit, from the gentle cumin-led heat of the original version to the appropriately named Fiery Ghost Naga. The best of the lot might be those made with coriander, which are a perfect accompaniment to a Belgian witbier. Founder and beer-lover Kumar Kolar has collaborated with breweries on special editions, like the ginger-and-lemon snack he produced to complement Weird Beard’ Mariana Trench pale ale.

Cleaver and Keg ( cleaverandkeg.co.uk )

Dan Searle, the publican-turned-snack entrepreneur behind Cleaver and Keg, wanted something more exciting than a bag of crisps to sate his punters’unger: these meat snacks are the result. Of the four varieties, the smoky, spicy Chorizo Cuts and hot, peppery Strips O’eef are particularly good. The products’ebt to the craft-beer revolution is acknowledged in the name and on the packaging, which offers beer-matching tips (such as a Rye IPA or Amber Ale for Chorizo Cuts).

Smo-Fo Smoked Snacks ( twitter.com/smofosmokedfood )

Yorkshire butcher Simon Barnes had planned to use his new smokehouse for bacon but a customer’ demand for smoked snacks set him on the road to creating Smo-Fo. You’l find his products (hickory-smoked scratchings, chilli-dusted smoked roast corn and crispy smoked broad beans) in pubs and bars all over the North (including the Brewdog chain).

Soffles Pitta Chips ( soffles.com )

If you’e been to a beer event in London in the past year, chances are you’e spotted the pale-blue Vespa 400 MPV from which founder Sophie Harvey and her colleagues sell their oven-baked pitta chips. Harvey started making them for pals who wanted a bite before dinner: now you can pick them up not only at beer festivals but also at Waitrose and Harvey Nichols. There are four flavours, of which the best are Chilli & Garlic and Rosemary & Thyme; they’e best served with hummus.

Woza Biltong ( eatwoza.com )

Biltong is as Afrikaner as the Springboks, which is perhaps why it’ not more popular in the UK. This gently spiced version, made with West Country bavette, will surprise those who expect it to be a dry, jaw-aching chore: it’ moist and almost Bresaola-like in its delicacy. Look out for it —nd its venison cousin —t Beavertown and Brew By Numbers’aprooms in London. Like a number of the new breed of pub snacks, it works particularly well with hoppy pale ales."
242,FT MAGAZINE Five of the best: Snack start-ups; Food and Drink,Will Hawkes,2017-01-21,2017,Financial Times,FTFT,,464,"Just as the craft-ale industry takes off, so a new breed of nibble is gaining a presence in pubs and breweries. By Will Hawkes

Cleaver and Keg (cleaverandkeg.co.uk)

Dan Searle, the publican-turned-snack entrepreneur behind Cleaver and Keg, wanted something more exciting than a bag of crisps to sate his punters' hunger: these meat snacks are the result. Of the four varieties, the smoky, spicy Chorizo Cuts and hot, peppery Strips O' Beef are particularly good. The products' debt to the craft-beer revolution is acknowledged in the name and on the packaging, which offers beer-matching tips (such as a Rye IPA or Amber Ale for Chorizo Cuts).

Karkli (chomponkarkli.com)

Made primarily from lentils and rice flour, these deep-fried tubular snacks deliver a spicy hit, from the gentle cumin-led heat of the original version to the appropriately named Fiery Ghost Naga. The best of the lot might be those made with coriander, which are a perfect accompaniment to a Belgian witbier. Founder and beer-lover Kumar Kolar has collaborated with breweries on special editions, like the ginger-and-lemon snack he produced to complement Weird Beard's Mariana Trench pale ale.

Smo-Fo Smoked Snacks (twitter.com/smofosmokedfood)

Yorkshire butcher Simon Barnes had planned to use his new smokehouse for bacon but a customer's demand for smoked snacks set him on the road to creating Smo-Fo. You'll find his products (hickory-smoked scratchings, chilli-dusted smoked roast corn and crispy smoked broad beans) in pubs and bars all over the North (including the Brewdog chain).

Soffles Pitta Chips (soffles.com)

If you've been to a beer event in London in the past year, chances are you've spotted the pale-blue Vespa 400 MPV from which founder Sophie Harvey and her colleagues sell their oven-baked pitta chips. Harvey started making them for pals who wanted a bite before dinner: now you can pick them up not only at beer festivals but also at Waitrose and Selfridges. There are four flavours, of which the best are Chilli & Garlic and Rosemary & Thyme; they're best served with hummus.

Woza Biltong (eatwoza.com)

Biltong is as Afrikaner as the Springboks, which is perhaps why it's not more popular in the UK. This gently spiced version, made with West Country bavette, will surprise those who expect it to be a dry, jaw-aching chore: it's moist and almost Bresaola-like in its delicacy. Look out for it -and its venison cousin - at Beavertown and Brew By Numbers' taprooms in London. Like a number of the new breed of pub snacks, it works particularly well with hoppy pale ales."
243,WHISKEY'S DISTILLERY SEASON,ARAN BRAZIL,2017-02-03,2017,The Sun,THESUN,News,396,"By ARAN BRAZIL A PINT of beer and a dram of whiskey have made great bedfellows for countless generations of drinkers, brewers and distillers.

Yet despite being very similar in process, equipment and ingredients, very few companies have been involved in producing both beer and spirits on the same premises.

This has changed somewhat in recent years with a number of smaller-scale breweries straddling both disciplines at once, including Cork-based Black's of Kinsale, which produces craft beer and gin. In 2015, meanwhile, Scottish craft producer Brewdog ventured into the hallowed halls of vodka, gin and whisky-making with the Lone Wolf brand. However, for the most part it's still very much 'never the twain'.

All of which makes Guinness's announcement that it is to start making its own whiskey all the more unexpected.

The black stuff's parent company Diageo last week unveiled a bold plan to re-enter the Irish whiskey market with the launch of Roe & Co, named in honour of George Roe, a neighbour of Guinness, whose distillery was located on Thomas Street, next to St James's Gate.

The company is aiming to complete a new distillery by 2019 in a refurbished historic building in the brewery grounds known as the Guinness powerhouse, above.

Before its closure in 1926, the original distillery, located just a stone's throw away from the planned site, was one of the most productive in Ireland, if not the world.

It is now a part of the Digital Hub and remains home to St Patrick's Tower, the distillery's iconic smock windmill - the sole visual reminder of its existence.

The new addition is the third distillery announcement for Dublin's Liberties, a fitting location given it was once famously known as the 'golden triangle' of distilling. Nearby is Teeling Distillery, which opened in 2015 and practically next door to Guinness is Alltech's Pearse Lyons Distillery, which is set to open in the next few months.

Diageo are no strangers to the Irish whiskey market having formally owned Bushmills before selling it in 2014 to Mexican company Jose Cuervo, best known for its tequila. The first release of Roe & Co will be made by sourcing a blend of grain and malt whiskeys from existing distilleries across Ireland and will be available from March onwards."
244,"And they called it, puppy leave ...",Marc Horne,2017-02-15,2017,The Times,T,News,272,"Scotland's largest craft brewer has become the first big British company to offer ""puppy parental leave"".

Since it was founded in Aberdeenshire in 2007 BrewDog has grown from being a two-man operation to a global empire selling tens of millions of bottles of its heavily-hopped ales.

Now the company, known for its publicity stunts and self-styled punk persona, is offering a week's paid holiday to employees who get a dog or puppy. It already encourages staff at its headquarters in Ellon to bring their dogs to work.

A spokesman said: ""Having dogs in our offices makes everyone else more chilled and relaxed, but we know only too well that having a new arrival —hether a pup or unsettled rescue dog —an be stressful for human and hound both. Puppy parental leave will support nervy canines and their owners alike in those all-important first few days.""

The perk will also be available to its staff in the US, where paid maternity leave is not guaranteed.

The Scottish SPCA praised the initiative but advised employees that taking on a dog should not be done lightly.

Mike Flynn, the animal welfare organisation's chief superintendent, said: ""We welcome BrewDog's new puppy parental leave policy. We would advise people to think very carefully before getting a dog as it is a lifelong commitment. You will also need the time required to train a new dog and also to exercise it.""

The company is building its US headquarters, and a second brewery, in Ohio. It employs almost 1,000 people globally."
245,BREWERY'S TOP DOG,Amy Jones,2017-02-17,2017,The Sun,THESUN,"Features; Opinion, Column",145,"Sun employment

INTRODUCING pupternity leave.

Craft beer company BrewDog is set to give all staff an additional week of leave when they bring home a new pooch.

The Scottish brewery was started by two men and a dog back in 2007, and both human co-founders are commonly found accompanied by canines Simcoe and Dr Gonzo.

The Aberdeenshire company encourages all staff to bring their (wellbehaved) pets to the workplace.

Co-founder James Watt said: ""It's not easy trying to juggle work and settle a new dog and many members of our crew have four-legged friends at home.

""We always want to raise the bar when it comes to offering our staff the best possible benefits. We care about two things above all else - people and beer.

""We also just really, really like dogs."""
246,Staff get a week's paws for new dog,STEVE KENNEDY,2017-02-18,2017,The Sun,THESUN,News,142,"CRAFT beer company BrewDog is offering staff a week's paid leave if they get a new pooch.

Workers can claim ""pawternity"" if they take in a puppy or rescue dog.

James Watt and Martin Dickie founded the firm in 2007 and are often seen with pet dogs Simcoe and Dr Gonzo.

James said: ""It's not easy trying to juggle work and settle a new dog into your life. We wanted to take the stress out of the situation.""

BrewDog, based in Ellon, Aberdeenshire, has over 50 staff animals in its HQ on work days.

The brewery has 44 bars and 540 staff and is expanding into the US.

James said: ""We care about two things above all else: People and beer. We also just really, really like dogs."""
247,PAPPY LEAVE IS VITAL,Shaf Rasul,2017-02-20,2017,The Sun,THESUN,Features; Opinion Column,287,"PAPPY LEAVE IS VITAL IT raised a smile when I heard the news that Brewdog has introduced 'Puppy Leave' for employees within the company.

The initiative will mean any new dog owners on its staff will receive a whole paid week off to spend quality time with their puppies.

Great news for any dog lovers, however it throws up another more important question - is two weeks' paid paternity leave for fathers really enough? One week for a puppy, two weeks for a child. Does two weeks give fathers enough time to really bond with their newborns and help share the load of child care? I don't think so.

In a time when there is a real focus on gender equality and equal rights for all - as it should be - why is gender-indifferent leave so lacking in 2017? With less than 10 per cent of men in the UK exceeding the statutory two weeks, stating their fear of being left behind within the workplace, surely it's time to change this mind-set and highlight exactly what every new father will gain instead.

Research has shown fathers who take paternity leave are more likely to feed, dress, bathe and play with their child long after their leave has ended, not to mention being more likely to read to them as toddlers.

Early interaction also has longer-term benefits for a child's learning abilities, with studies showing that paternity leave improved children's performance at secondary school.

We must give every child in Scotland the best start in life and in the name of social progress in the workplace, let's increase paid paternity leave for fathers."
248,Rise of premium beer in China boosts small brewers,Tom Hancock in Shanghai,2017-02-25,2017,Financial Times (FT.Com),FTCOM,,878,"Ignoring the cheap beer on tap in a dim and smoky Beijing bar, Cheer Qiu reaches into a fridge bursting with craft ales and pulls out a bottle of locally made Panda Brew, flavoured with honey.

“’ interested in brewing culture,”ays Ms Qiu. She is not alone in shunning cheaper beers in favour of more distinct brews. Volume sales in China at Danish brewer Carlsberg fell 6 per cent last year, while Panda says its sales tripled.

Kurt Xia founded Panda Brew in 2013 and is now selling his products in 60 cities across the country and has attracted venture capital investment worth Rmb20m ($2.9m). “onsumers are not satisfied only with lager but want to have something unique and which makes them look cool,”e says.

The two brewers’ontrasting fortunes underline the challenge of China’ more than $70bn-a-year beer market. Total volumes have been falling about 5 per cent annually for the past three years.

The drop has been driven by the rising popularity of wine and other alternatives, as well as a decline in the numbers of working age people who consume most of the cheap lager, which is priced at less than $1 a bottle and accounts for more than 90 per cent of volumes.

At the same time, the overall value of Chinese beer sales has risen slightly as younger and more affluent consumers switch to premium drinks, especially craft beers. Many of these beverages are from abroad —ome consumption of imported beer rose 40 per cent last year, according to consumer research company Kantar Worldpanel, to comprise 3.6 per cent of the market.

That has been a boost for small European brewers. Premium brands have experienced “xponential growth”n recent years, says Antoine Bolly, China marketing manager for Vandergeeten & EG Distriselecta, which distributes Chimay beer and Huyghe Brewery’ flagship Delirium Tremens beer in China.

“he consumer goes more and more for premium instead of value,”e says.

Brand recognition and loyalty for beers such as Chimay, brewed by Trappist monks in Belgium, are rising, Mr Bolly adds, with consumers “sking for the brand in Chinese” However, in a country ruled by the officially atheist Communist party, “ou cannot communicate that it’ made by monks. They refuse to brand it like that.”

Dutch brewer eineken said this month that its sales volumes in China increased slightly last year on the strength of its more expensive offerings. “e are totally super premium with the Heineken brand in China,”ays Jean-Françis van Boxmeer, chairman. “t’ a promise for the future.”

Scottish “unk”rand BrewDog has also expanded in China. “t seems to have a following,”ays Gary Brown, managing director for Topshelf Asia, which distributes the beer in the country. “hey are serious about the market here. There’ only a few big markets that haven’ been tapped.”

Despite the decline in volumes, Carlsberg says sales of its premium Tuborg and 1664 Blanc brands are strong in China. “he gain is not volume but value and premiumisation, and we are well placed for that and in that respect optimistic for China,”ays Cees ’ Hart, chief executive.

But Chinese beer groups appear to be struggling with the shift to premium drinks. Urban sales volumes of Snow, Tsingtao and anjing, the country’ biggest domestic brands, contracted 3, 7 and 8 per cent respectively last year, according to Kantar.

Revenues at China Resources Snow Breweries, the world’ biggest beer group by sales volume, fell 2 per cent to Rmb15bn in the first half of last year. China Resources Beer acquired SABMiller’ 49 per cent stake in Snow for $1.6bn last year.

Yanjing’ 2016 sales were down more than 10 per cent to Rmb6.3bn and profits fell one-quarter compared with the previous year, to Rmb451m. The company is “eavily indebted and the market believes they are looking for a strategic investor to bail them out” writes Gordon Orr of McKinsey.

“owever much they try, their brands are just not premiumising well. Consumers view them as the cheap brew that their parents and grandparents turned to. They want something different,”r Orr adds.

Tsingtao posted an 8 per cent fall in revenues to Rmb14.7bn in its most recent financial report, with profits down 6 per cent. Japan’ Asahi is considering selling its 20 per cent stake in the company.

But the Chinese market is not all smooth sailing for premium brands. A lack of refrigeration in bars and distribution vehicles can spoil the taste, and distributors say “arallel”mports of foreign beer brands that avoid paying customs duties are a big challenge.

“hen Heineken is sold in Europe under promotion some containers are shipped to China. It’ very difficult to control,”ays Heineken’ Mr van Boxmeer.

Ceinwen Michael, a sales manager in China for Vandergeeten, says the problem of parallel imports is extensive: “ll big popular beers are getting brought in through other methods.”

Lax enforcement of rules against unofficial vendors has exacerbated the problem. “e’e given up reporting [parallel imports] to the authorities,”ays Mr Brown of Topshelf Asia.

Twitter: @hancocktom"
249,COMPANIES Top China beer brands hammered as tastes shift; Food & beverage: Drinking culture,Tom Hancock in Shanghai,2017-02-27,2017,Financial Times,FTFT,,850,"Snow, Tsingtao and Yanjing sales volumes fall while imports and craft brews gain ground

Ignoring the cheap beer on tap in a smoky Beijing bar, Cheer Qiu reaches into a fridge bursting with craft ales and pulls out a bottle of locally made Panda Brew, flavoured with honey. ""I'm interested in brewing culture,"" Ms Qiu says.

She is not alone in shunning cheaper beers for more distinct brews. Volume sales in China at Carlsberg, the Danish brewer, fell 6 per cent last year while Panda says its sales trebled.

Kurt Xia founded Panda in 2013 and is selling his products in 60 cities across the country. He has drawn venture capital investment of Rmb20m ($2.9m). ""Consumers are not only satisfied with lager but want to have something unique and which makes them look cool,"" he says.

The brewers' contrasting fortunes underline the challenge of China's more than $70bn-a-year beer market. Volumes have been falling about 5 per cent annually for the past three years.

The drop has been driven by the rising popularity of wine and other alternatives, and a decline in the working-age population that consumes most of the cheap lager, which is priced at less than $1 per bottle and accounts for more than 90 per cent of volumes.

At the same time, the value of Chinese beer sales has risen slightly as younger and more affluent consumers switch to premium drinks, especially craft beers .

Many of these are from abroad. Home consumption of imported beer rose 40 per cent last year, according to Kantar Worldpanel, to comprise 3.6 per cent of the market.

That has been a boost for small European brewers.

Premium brands have experienced rapid growth, says Antoine Bolly , China marketing manager for Vandergeeten & EG DistriSelecta, which distributes Chimay beer and Huyghe Brewery's flagship Delirium Tremens beer in China. ""The consumer goes more and more for premium instead of value.""

Brand recognition and loyalty for beers such as Chimay, brewed by Trappist monks in Belgium, are rising, Mr Bolly says, with consumers ""asking for the brand in Chinese"".

But in a country ruled by the atheist Communist party, ""you can't communicate that it's made by monks. They refuse to brand it like that"".

Dutch brewer Heineken said this month that its sales volumes in China increased slightly last year on the strength of its more expensive offerings. ""We are totally super premium with the Heineken brand in China,"" says Jean-Françis van Boxmeer , chairman. ""It's a promise for the future.""

Scottish ""punk"" brand BrewDog has also expanded in China. ""It seems to have a following,"" says Gary Brown , managing director for Topshelf Asia, which distributes the beer. ""They are serious about the market here. There's only a few big markets that haven't been tapped.""

Carlsberg says sales of its premium Tuborg and 1664 Blanc brands are strong in China. ""The gain is not volume but value and premiumisation, and we are well placed for that and in that respect optimistic for China,"" says Cees 't Hart , chief executive.

But China beer groups appear to be struggling with the shift to premium drinks. Urban sales volumes of Snow, Tsingtao and Yanjing, the biggest domestic brands, contracted 3, 7 and 8 per cent respectively last year, according to Kantar.

Revenues at China Resources Snow Breweries - the world's biggest beer group by sales volume - fell 2 per cent to Rmb15bn in the first half of last year. China Resources Beer acquired SABMiller's 49 per cent stake in Snow for $1.6bn last year.

Yanjing's 2016 sales were down more than 10 per cent to Rmb6.3bn and profits fell one-quarter compared with the previous year to Rmb451m.

The group is ""heavily indebted, and the market believes they are looking for a strategic investor to bail them out,"" Gordon Orr of McKinsey writes. ""However much they try, their brands aren't premiumising well. Consumers view them as the cheap brew that their parents and grandparents turned to. They want something different.""

Tsingtao posted an 8 per cent fall in revenues to Rmb14.7bn in its most recent report, with profits down 6 per cent. Japan's Asahi is considering selling its 20 per cent stake.

But the China market is not all smooth sailing for premium brands. A lack of refrigeration in bars and distribution vehicles can spoil the taste, and distributors say ""parallel"" imports of foreign beer brands that avoid paying customs duties are a challenge.

""When Heineken is sold in Europe under promotion, some containers are shipped to China - it's very difficult to control,"" says Mr van Boxmeer says.

Ceinwen Michael, a sales manager in China for Vandergeeten, says the problem of parallel imports is extensive: ""All big popular beers are getting bought in through other methods.""

Lax enforcement of rules against unofficial vendors has exacerbated the problem. ""We've given up reporting [parallel imports] to the authorities,"" Mr Brown says."
250,ROOM WITH A BREW,RHODRI PHILLIPS,2017-03-04,2017,The Sun,THESUN,Business,130,"CITY Sun THE FTSE 100 FELL 8.09 TO 7374.26 EDITED BY RHODRI PHILLIPS Tel: 020 7782 4050 e-mail: rhodri.phillips@the-sun.co.uk Twitter: @rhodri76 BRENT CRUDE $55.62

A brewer is planning to build a craft beer hotel in the US.

BREWDOG said its £.9million DogHouse in Columbus, Ohio, is aimed at ""ale geeks"".

Co-founder James Watt, left, said rooms will have beer taps and there will be fridges stocked with craft beer in the shower. The Aberdeenshire-based company is using crowdfunding to get the project off the ground.

The move comes after Brewdog failed to reach an agreement with Aberdeenshire Council to build a hotel next to its existing brewery in Ellon."
251,"It's not just froth, craft breweries say as launches rise by 55%",Callum Jones,2017-03-13,2017,The Times,T,Business,393,"small business news

The number of brewery launches leapt by 55 per cent in Britain last year. A record 520 sites started operating in 2016, up from 336 the previous year.

With ten openings each week, budding entrepreneurs appear to have been spurred on by a string of success stories from start-up brands that have become a hit with consumers.

UHY Hacker Young, which conducted research into the craft beer boom, claims that the dominant players in the alcohol industry have become concerned by the slow progress of their established brands, while the popularity of craft beers continues to rise.

James Simmonds, a partner at the accountancy firm, said that its analysis showed how far the industry had come over the past decade.

The Camden Town Brewery, which produces brands including Hells, Pale Ale and Pils, was snapped up by AB InBev for £5 million in 2015, having set up shop only five years beforehand. SAB Miller bought the Meantime Brewery, which was founded in Greenwich, southeast London, in 2000, for a reported £20 million in 2015, only to sell it to Asahi, of Japan, last year.

James Watt and Martin Dickie, who set up Brewdog in 2007, still own the Scottish company, which now owns dozens of bars across the UK and overseas.

Brewdog opened a brewery in Ohio in the United States to complement its main site in Ellon, outside Aberdeen, last year.

""Craft beer has proved it is no flash in a pan,"" Mr Simmonds said. ""Both supermarkets and pubs realise that they are going to lose sales if they do not make way for some craft brands ""So far the pricing discipline of cult beer brands has held steady. They have been largely untouched by the supermarket wars that have savaged margins elsewhere in the food and drinks sector.

""Recent high-profile takeovers by larger breweries have given entrepreneurs and their backers proof of what can be achieved and proper benchmarks of how craft breweries can be valued. It is a long way from the cottage industry of a decade ago.""

While craft beers have a share of about 8 per cent of the total beer market in the UK, they control more than a fifth of the market in the US."
252,Brewdog ’ investors discover dilution,Kadhim Shubber,2017-03-15,2017,Financial Times (FT.Com),FTCOM,,242,"Remember Brewdog? They’e the independent Scottish beer business who run obnoxious advertising campaigns , have a penchant for crowdfunding and have promised to never sell the company “o a monolithic purveyor of industrial beer”

Well, at the end of this month, Brewdog is holding a general meeting to approve several important changes to its articles of association, which it says will pave the way for an injection of cash from an unnamed investor.

Those resolutions include the temporary removal of pre-emption rights, so current shareholders can’ stop their stakes being diluted by the fundraising, and, more exciting still, the creation of generous preferred shares that give the new investor a ton of downside protection.

On a liquidation, return of capital, a sale of the Company or its business or a listing of the Company, they are entitled to receive the higher of (i) a preferred return preference of 18 per cent per annum compounding annually and (ii) such amount as would be applied to the holders of the C shares if they ranked pari passu with the A Ordinary Shares and B Ordinary Shares.

According to a letter to shareholders on Monday , Brewdog could sell up to 30 per cent of the company to the investor. Certain “ignificant shareholders”ill be able to sell up 20 per cent of their holdings too.

Other, insignificant shareholders will just have to hold on and hope."
253,Professional investors join the crowdfunding party,Aime Williams,2017-03-16,2017,Financial Times (FT.Com),FTCOM,,619,"Crowdfunding has traditionally offered ordinary investors the chance to buy shares in unlisted companies —ut now venture capital funds are muscling in.

Professional investors, including VC funds and corporate finance houses, provided equity to about 14 per cent of start-ups backed on crowdfunding websites in 2016, more than double compared with two years earlier, according to research company Beauhurst.

In separate figures, Crowdcube, the largest crowdfunding platform by deal volume, said the number of deals involving institutional investors alongside retail investors had quadrupled in the past two years.

At least one major crowdfunding platform, Syndicate Room, only features deals that have won the backing of professional investors. Chief executive Goncalo de Vasconcelos said having a professional investor onboard was a “o brainer”or investors.

“rofessional investors carry out their own due diligence and negotiate the investment terms to the extent they are happy to invest their own money,”aid Mr Vasconcelos. “hey also add a huge amount of value post-funding round with their sector expertise and contacts.”

Syndicate Room claims that 97 per cent of the companies funded via its website are still trading, which it attributes to its model of allowing professionals to lead funding rounds.

The growing institutional interest in equity crowdfunding follows the trend seen in the peer-to-peer lending space, where institutional lenders have moved in to buy up debt as the lending market has matured.

Robert Wardrop, executive director for the Cambridge Centre for Alternative Finance, said that in the case of equity crowdfunding, fund managers were beginning to realise that some deals could “enefit from investor evangelism” with returns from investing in some companies potentially improved by the enthusiasm of the so-called crowd.

Many companies raising funds have looked to leverage retail investors’nthusiasm for a particular product by offering perks.

Scottish brewer BrewDog, which has raised £5.3m from UK retail investors, offers “pic discounts”n its bars and a lifetime discount in its shop. Chilango, a restaurant chain, similarly offers investors discounts on burritos.

Pedro Madeira, head of research at Beauhurst, said the growing size and sophistication of companies turning to crowdfunding was partly responsible for attracting professional investors.

According to Beauhurst’ data set, a shift is under way with more companies registering as “rowth stage” rather than smaller “eed stage”usinesses.

“Growth] stage companies are the preferred hunting grounds for institutional investors such as venture capital funds,”aid Mr Madeira. “t’ therefore no surprise that institutional investors are now keener for a piece of the action.”

Mr Wardrop added that professional investors were also moving towards crowdfunding as part of the broader context of “igitalisation” “t’ not surprising,”e said.

“e’e dealing with the broad context of the digitalisation of the economy, the digitalisation of the financial system, and you’e got to expect the channels will change in a digital environment.”

Equity crowdfunding has been the subject of a market review by the Financial Conduct Authority, along with peer-to-peer lending.

In February 2015, the FCA said that crowdfunders were giving a “isleading or unrealistically optimistic impression of the investment”hile attracting retail customers with little experience of investing.

The FCA had previously warned investors: “t is very likely you will lose all your money”n equity crowdfunding, which involves taking stakes in unlisted companies that are often in their early stages.

A recent study in the UK by AltFi Data and law firm Nabarro found that one in five companies that raised money on equity crowdfunding platforms between 2011 and 2013 had gone bankrupt. Last year, claims management group Rebus was the iggest failure to date of a UK crowdfunded company."
